id,label,type,group,note,start_time,end_time,timecodes
wolf,Ema Wolf,interviewee,Entrevistado,Nodo central de la constelación de Ema Wolf.,,,
cat_didacticas,Didácticas,category,Didácticas,,,,
cat_culturales,Culturales,category,Culturales,,,,
cat_propia_obra,Propia obra,category,Propia obra,,,,
cat_biograficas,Biográficas,category,Biográficas,,,,
ref_escribo_para_chicos_y_no_para_alumnos_rechazo_del_didactismo,«Escribo para chicos y no para alumnos»: rechazo del didactismo,reference,Didácticas,"Wolf rechaza que la literatura para niños quede subordinada a necesidades pedagógicas y formula como principio escribir para lectores infantiles, no para alumnos.",00:16:08,00:17:49,00:16:08-00:17:49
ref_los_libros_ensenan_sin_que_el_escritor_sea_maestro,Los libros enseñan sin que el escritor sea maestro,reference,Didácticas,"Recupera una idea de Rodari: toda lectura puede enseñar, pero eso no obliga al escritor a asumir una función docente explícita.",00:17:49,00:18:05,00:17:49-00:18:05
ref_visitas_a_escuelas_y_usos_pedagogicos_de_sus_libros,Visitas a escuelas y usos pedagógicos de sus libros,reference,Didácticas,"Explica que visita escuelas desde hace muchos años, especialmente públicas, y observa con incomodidad que sus libros se presentan a menudo como materiales que se «usan» o «trabajan» pedagógicamente.",00:18:05,00:19:01,00:18:05-00:19:01
ref_docente_como_mediador_de_lectura,Docente como mediador de lectura,reference,Didácticas,"Propone que el docente actúe como mediador y ayude a los niños a observar cómo está construido el texto: vocabulario, frases y decisiones expresivas.",00:19:08,00:19:49,00:19:08-00:19:49
ref_mostrar_los_piolines_hacer_visible_la_construccion_del_relato,«Mostrar los piolines»: hacer visible la construcción del relato,reference,Didácticas,"A partir de una pregunta infantil sobre una nevada imposible, defiende que el trabajo escolar ayude a mostrar los mecanismos y decisiones con los que se construye una historia.",00:19:49,00:20:55,00:19:49-00:20:55
ref_conversacion_literaria_y_pluralidad_de_interpretaciones,Conversación literaria y pluralidad de interpretaciones,reference,Didácticas,Prefiere que la lectura suscite conversación y discusión antes que transmitir un mensaje unívoco; recuerda incluso una interpretación ambiental de un cuento que contradecía la lectura habitual.,00:20:55,00:22:56,00:20:55-00:22:56
ref_dramatizacion_como_transposicion_de_genero,Dramatización como transposición de género,reference,Didácticas,Cuestiona las dramatizaciones escolares cuando se limitan a disfrazar al alumnado y propone utilizarlas para enseñar conscientemente el paso de un texto narrativo a uno teatral.,00:23:32,00:24:09,00:23:32-00:24:09
ref_cambiar_finales_respetando_la_coherencia_narrativa,Cambiar finales respetando la coherencia narrativa,reference,Didácticas,"Acepta cambiar el final de un cuento como ejercicio de escritura, pero señala que debería enseñarse que el desenlace está condicionado por el comienzo y el desarrollo.",00:24:09,00:24:41,00:24:09-00:24:41
