id,label,type,group,note,start_time,end_time,timecodes
frankel,Yael Frankel,interviewee,Entrevistado,Nodo central de la constelación de Yael Frankel.,,,
cat_didacticas,Didácticas,category,Didácticas,,,,
cat_culturales,Culturales,category,Culturales,,,,
cat_propia_obra,Propia obra,category,Propia obra,,,,
cat_biograficas,Biográficas,category,Biográficas,,,,
ref_diferencia_entre_ser_ilustrador_y_saber_ensenar_ilustracion,Diferencia entre ser ilustrador y saber enseñar ilustración,reference,Didácticas,Frankel distingue la excelencia como ilustrador de la capacidad docente y sostiene que para enseñar o transmitir un oficio es necesaria una preparación específica.,00:06:48,00:07:40,00:06:48-00:07:40
ref_acompanamiento_editorial_como_proceso_formativo,Acompañamiento editorial como proceso formativo,reference,Didácticas,Describe a su primera editora como una maestra que la acompañó paso a paso y le enseñó a construir y publicar un álbum ilustrado.,00:09:55,00:11:20,00:09:55-00:11:20
ref_diferencia_entre_libro_ilustrado_y_album_ilustrado,Diferencia entre libro ilustrado y álbum ilustrado,reference,Didácticas,Explica que uno de sus aprendizajes decisivos fue comprender que un libro ilustrado y un álbum ilustrado no funcionan del mismo modo.,00:08:33,00:09:31,00:08:33-00:09:31; 00:18:37-00:19:29
ref_diferencia_entre_dibujar_e_ilustrar,Diferencia entre dibujar e ilustrar,reference,Didácticas,"Formula como aprendizaje central que ilustrar no equivale simplemente a dibujar bien o copiar la realidad, sino a utilizar imágenes para contar.",00:18:37,00:20:48,00:18:37-00:20:48
ref_la_ilustracion_como_narracion,La ilustración como narración,reference,Didácticas,Entiende al ilustrador como un segundo narrador que construye una historia visual propia junto al autor del texto.,00:19:03,00:21:14,00:19:03-00:21:14
ref_distancia_entre_texto_e_imagen_como_riqueza_del_album,Distancia entre texto e imagen como riqueza del álbum,reference,Didácticas,Sostiene que el álbum se enriquece cuando la imagen no repite literalmente lo dicho por las palabras y toma decisiones narrativas propias.,00:19:14,00:21:14,00:19:14-00:21:14; 00:31:33-00:31:55
ref_adaptacion_del_lenguaje_verbal_al_lector_infantil,Adaptación del lenguaje verbal al lector infantil,reference,Didácticas,"Cuando parte de experiencias personales, explica que debe transformar especialmente el lenguaje escrito para dirigir la historia a niños pequeños sin convertirla en un diario íntimo.",00:25:46,00:27:59,00:25:46-00:27:59
ref_autonomia_de_la_lectura_visual,Autonomía de la lectura visual,reference,Didácticas,Señala que una misma imagen puede ser observada por adultos y niños y que cada lector realiza su propia lectura visual.,00:26:56,00:27:59,00:26:56-00:27:59
ref_no_predeterminar_el_libro_por_edades,No predeterminar el libro por edades,reference,Didácticas,Afirma que no comienza una obra pensando en una franja etaria concreta; la adecuación a primera infancia o a lectores más competentes emerge durante el desarrollo del libro.,00:31:58,00:34:36,00:31:58-00:34:36
ref_critica_a_los_libros_para_y_a_la_instrumentalizacion_de_la_lij,Crítica a los «libros para» y a la instrumentalización de la LIJ,reference,Didácticas,"Cuestiona los libros concebidos principalmente para resolver conductas o problemas —dejar el chupete, entrar en primaria, etc.— cuando se presentan como literatura.",00:40:02,00:44:36,00:40:02-00:44:36
