id,label,type,group,note,start_time,end_time,timecodes
eudave,Cecilia Eudave,interviewee,Entrevistado,Nodo central de la constelación de Cecilia Eudave.,,,
cat_didacticas,Didácticas,category,Didácticas,,,,
cat_culturales,Culturales,category,Culturales,,,,
cat_propia_obra,Propia obra,category,Propia obra,,,,
cat_biograficas,Biográficas,category,Biográficas,,,,
ref_deteccion_de_la_dislexia_y_motivacion_lectora,Detección de la dislexia y motivación lectora,reference,Didácticas,Eudave destaca la importancia de que el profesorado detecte dificultades de aprendizaje y acompañe al niño con confianza y motivación para que pueda acceder a la lectura.,00:09:57,00:11:07,00:09:57-00:11:07
ref_poesia_y_declamacion_como_apoyo_al_habla,Poesía y declamación como apoyo al habla,reference,Didácticas,Recuerda cómo una profesora de secundaria identificó el origen nervioso de su tartamudeo y utilizó la poesía y la declamación como vía de mejora y seguridad expresiva.,00:12:25,00:14:00,00:12:25-00:14:00
ref_ensenanza_como_dialogo_y_aprendizaje_mutuo,Enseñanza como diálogo y aprendizaje mutuo,reference,Didácticas,Relaciona su escritura para jóvenes con su experiencia docente y afirma que enseñar supone establecer un diálogo en el que también el profesorado aprende del alumnado.,00:20:31,00:21:31,00:20:31-00:21:31
ref_los_libros_como_puente_hacia_otros_libros,Los libros como puente hacia otros libros,reference,Didácticas,"En su literatura infantil y juvenil procura que una lectura conduzca a otras, mediante identificación, curiosidad e intertextos que animen a buscar nuevos libros.",00:21:16,00:22:07,00:21:16-00:22:07; 00:53:39-00:54:01
ref_lectura_individual_y_conversacion_colectiva,Lectura individual y conversación colectiva,reference,Didácticas,"Concibe la lectura como una experiencia íntima que se enriquece cuando se comparte, se compara con otras interpretaciones y se convierte en conversación.",00:21:31,00:22:35,00:21:31-00:22:35
ref_de_lo_abstracto_a_lo_concreto_en_la_infancia,De lo abstracto a lo concreto en la infancia,reference,Didácticas,"Sostiene que los niños comprenden muchas ideas abstractas cuando estas se concretan en imágenes, personajes y situaciones narrativas, principio que guía la construcción de Papá Oso.",00:23:54,00:26:03,00:23:54-00:26:03
ref_imaginacion_infantil_como_espacio_seguro,Imaginación infantil como espacio seguro,reference,Didácticas,"Defiende la imaginación y los cuentos fantásticos como espacios donde los niños pueden sentirse seguros, ensayar respuestas y afrontar simbólicamente conflictos.",00:26:22,00:27:17,00:26:22-00:27:17
ref_no_convertir_a_los_ninos_en_sujetos_de_rendimiento,No convertir a los niños en sujetos de rendimiento,reference,Didácticas,"Critica la hiperestimulación y la presión competitiva sobre la infancia y reivindica el juego, la elección, el aburrimiento fértil, la imaginación y el derecho a equivocarse.",00:30:06,00:32:53,00:30:06-00:32:53
ref_dibujo_como_expresion_emocional_despues_de_la_lectura,Dibujo como expresión emocional después de la lectura,reference,Didácticas,Propone que los niños dibujen personajes o familias después de leer porque el dibujo moviliza emociones diferentes de las que aparecen mediante la escritura verbal.,00:34:48,00:35:52,00:34:48-00:35:52
ref_relacion_texto_imagen_y_adecuacion_al_lector_infantil,Relación texto-imagen y adecuación al lector infantil,reference,Didácticas,Defiende que la ilustración acompañe y enriquezca el texto sin sustituirlo y advierte contra imágenes excesivamente sofisticadas cuando el libro se dirige explícitamente a niños pequeños.,00:36:20,00:37:51,00:36:20-00:37:51
ref_lectura_compartida_y_conversacion_familiar,Lectura compartida y conversación familiar,reference,Didácticas,Valora los casos en que la relectura de Papá Oso o Bobot genera conversaciones entre niños y adultos y convierte el libro en un espacio de interacción familiar.,00:37:53,00:38:40,00:37:53-00:38:40
ref_mundo_simbolico_infantil_y_sencillez_literaria,Mundo simbólico infantil y sencillez literaria,reference,Didácticas,Explica que los niños construyen espontáneamente mundos metafóricos y simbólicos y considera especialmente difícil lograr la sencillez de lenguaje e imágenes capaz de conectar con ellos.,00:41:31,00:43:55,00:41:31-00:43:55
ref_papa_oso_en_el_aula_interpretacion_abierta_y_valores,Papá Oso en el aula: interpretación abierta y valores,reference,Didácticas,"Ante su uso escolar, propone no imponer una lista cerrada de valores: el lector puede descubrir familia, solidaridad, aceptación, juego, escucha o armonía según su propia experiencia.",01:07:37,01:10:31,01:07:37-01:10:31
ref_apertura_del_canon_escolar_y_mediacion_sin_desprecio,Apertura del canon escolar y mediación sin desprecio,reference,Didácticas,"Defiende ampliar el canon escolar con literaturas de distintas tradiciones y utilizar lecturas populares como puentes hacia otras obras, sin menospreciar lo que ya leen niños y jóvenes.",01:15:31,01:16:27,01:15:31-01:16:27; 01:16:33-01:20:07
ref_amado_nervo_tu_antes_tu_despues,"Amado Nervo — «Tú, antes; tú, después»",reference,Culturales,Recuerda este poema como el primero que aprendió para declamar durante el proceso con el que logró superar su tartamudeo.,00:13:16,00:14:00,00:13:16-00:14:00
ref_el_oso_en_el_imaginario_de_los_cuentos_infantiles,El oso en el imaginario de los cuentos infantiles,reference,Culturales,"Eudave reconoce la figura del oso como un motivo tradicional muy versátil del imaginario infantil —agresor, maestro o figura afectiva— y lo reutiliza en Papá Oso.",00:24:53,00:25:38,00:24:53-00:25:38
ref_tradicion_del_cuento_maravilloso_del_siglo_xix,Tradición del cuento maravilloso del siglo XIX,reference,Culturales,"Sitúa detrás de Papá Oso la estructura de búsqueda característica del cuento maravilloso decimonónico, donde el recorrido del niño funciona como aprendizaje.",01:12:29,01:13:07,01:12:29-01:13:07
ref_los_tres_cerditos,Los tres cerditos,reference,Culturales,Lo utiliza como ejemplo de relato tradicional que mantiene su vigencia a través del tiempo mientras sus imágenes y contextos se actualizan.,00:46:09,00:46:35,00:46:09-00:46:35
ref_lewis_carroll_alicia_en_el_pais_de_las_maravillas,Lewis Carroll — Alicia en el país de las maravillas,reference,Culturales,La menciona como ejemplo de obra recreada continuamente y como intertexto de Aislados para representar la entrada en una realidad virtual alternativa.,00:46:33,00:46:57,00:46:33-00:46:57; 01:00:15-01:00:45
ref_arthur_conan_doyle_profesor_challenger,Arthur Conan Doyle — Profesor Challenger,reference,Culturales,Evoca la tradición de investigadores de fenómenos extraños y cita al Profesor Challenger de Conan Doyle como uno de los antecedentes culturales de Julia Dench.,00:51:59,00:52:33,00:51:59-00:52:33
ref_sheridan_le_fanu_y_el_detective_paranormal,Sheridan Le Fanu y el detective paranormal,reference,Culturales,Incluye a Sheridan Le Fanu entre los antecedentes de la figura del investigador de lo paranormal que inspiró la creación de Julia Dench.,00:51:59,00:52:33,00:51:59-00:52:33
ref_oscar_wilde_el_retrato_de_dorian_gray,Oscar Wilde — El retrato de Dorian Gray,reference,Culturales,"El retrato de Dorian Gray funciona como intertexto principal de El enigma de la esfera en su reflexión sobre belleza, vanidad y competencia adolescente.",00:53:15,00:54:01,00:53:15-00:54:01
ref_franz_kafka_la_metamorfosis,Franz Kafka — La metamorfosis,reference,Culturales,La metamorfosis aparece como texto estructural de Aislados y también como referencia general para pensar transformaciones y bestializaciones en Papá Oso.,00:59:15,01:00:11,00:59:15-01:00:11; 01:12:15-01:12:25
ref_rosalba_campra,Rosalba Campra,reference,Culturales,"Recupera una reflexión de Rosalba Campra sobre los múltiples «yo» del texto para explicar la relación entre quien escribe, el yo escrito y el yo lector.",01:06:29,01:07:13,01:06:29-01:07:13
ref_william_blake,William Blake,reference,Culturales,Cita una imagen de William Blake sobre el agua estancada para defender que un canon escolar cerrado acaba empobreciéndose y necesita renovarse.,01:16:33,01:16:53,01:16:33-01:16:53
ref_geronimo_stilton_y_harry_potter,Geronimo Stilton y Harry Potter,reference,Culturales,Aparecen como ejemplos de lecturas populares o sagas que pueden formar parte del itinerario lector y funcionar como puente hacia otros libros sin ser despreciadas por la escuela.,01:15:31,01:16:27,01:15:31-01:16:27; 01:17:37-01:18:23
ref_papa_oso,Papá Oso,reference,Propia obra,Explica que Papá Oso nació del deseo de hacer comprensible para un niño el estrés adulto mediante la transformación simbólica del padre en oso; después comenta sus posibilidades de lectura en el aula.,00:23:03,00:27:17,00:23:03-00:27:17; 01:07:37-01:10:31
ref_los_genios_de_las_botellas,Los genios de las botellas,reference,Propia obra,La obra surge de un encargo sobre violencia intrafamiliar y alcoholismo; Eudave opta por una representación simbólica y sutil en la que las botellas contienen genios benéficos o dañinos.,00:27:17,00:29:29,00:27:17-00:29:29
ref_bobot,Bobot,reference,Propia obra,Bobot nace en un momento de estrés personal y critica la competencia feroz y la idea de que el valor depende de premios o resultados; Eudave lo concibe también como recuperación de su propia niña interior.,00:29:36,00:31:33,00:29:36-00:31:33; 00:34:18-00:36:13
ref_dibujar_bobot_como_traduccion_emocional,Dibujar Bobot como traducción emocional,reference,Propia obra,Durante un mes dibujó diariamente a Bobot y describe ese proceso como una traducción emocional distinta de la escritura verbal y como una experiencia catártica.,00:34:48,00:36:13,00:34:48-00:36:13
ref_la_criatura_del_espejo,La criatura del espejo,reference,Propia obra,"Primera entrega de la saga de Julia Dench, escrita por encargo; aborda metafóricamente el paso de la niñez a la adolescencia mediante la ruptura de un espejo.",00:49:11,00:50:11,00:49:11-00:50:11; 00:53:01-00:53:15
ref_el_enigma_de_la_esfera,El enigma de la esfera,reference,Propia obra,"Segunda novela de la saga, centrada en la vanidad, la competencia y los modelos de belleza entre adolescentes, con El retrato de Dorian Gray como intertexto fundamental.",00:53:15,00:54:01,00:53:15-00:54:01
ref_pesadillas_al_mediodia,Pesadillas al mediodía,reference,Propia obra,"Última entrega de la trilogía, concebida inicialmente con el título El demonio del mediodía y orientada a explorar depresión y melancolía mediante la experiencia de la pesadilla.",00:54:01,00:54:35,00:54:01-00:54:35
ref_doctora_julia_dench,Doctora Julia Dench,reference,Propia obra,Crea una investigadora de fenómenos paranormales para ocupar un espacio que percibía dominado por figuras masculinas y la convierte en mediadora de los miedos y conflictos adolescentes.,00:51:59,00:52:55,00:51:59-00:52:55; 00:54:55-00:55:49
ref_aislados,Aislados,reference,Propia obra,"La novela explora el aislamiento, la incomunicación familiar y la construcción de realidades virtuales a través de redes sociales, sin formular una moraleja explícita.",00:55:49,00:59:15,00:55:49-00:59:15; 00:59:41-01:01:53
ref_bestiaria_vida,Bestiaria vida,reference,Propia obra,La menciona como una de las obras adultas a las que llegaron lectores formados inicialmente con su saga juvenil y la recupera al aludir a la figura materna como «basilisco».,00:50:05,00:50:21,00:50:05-00:50:21; 01:02:05-01:02:15
ref_escritura_como_dialogo_exorcismo_y_cristalizacion_emocional,"Escritura como diálogo, exorcismo y cristalización emocional",reference,Propia obra,"Define la escritura como diálogo consigo misma y con un lector desconocido, además de una forma de cristalizar y exorcizar emociones que no sabía manejar de otro modo.",00:15:58,00:17:20,00:15:58-00:17:20
ref_lo_fantastico_como_reconstruccion_y_confrontacion,Lo fantástico como reconstrucción y confrontación,reference,Propia obra,"Relaciona su interés por lo fantástico con la lectura infantil y lo concibe no como evasión, sino como un espacio de reconstrucción y confrontación de experiencias difíciles.",00:17:22,00:18:34,00:17:22-00:18:34
