id,label,type,group,note,start_time,end_time,timecodes
iwasaki,Fernando Iwasaki,interviewee,Entrevistado,Nodo central de la constelación de Fernando Iwasaki.,,,
cat_didacticas,Didácticas,category,Didácticas,,,,
cat_culturales,Culturales,category,Culturales,,,,
cat_propia_obra,Propia obra,category,Propia obra,,,,
cat_biograficas,Biográficas,category,Biográficas,,,,
ref_identidad_como_suma_y_expansion,Identidad como suma y expansión,reference,Didácticas,"Iwasaki explica la identidad como una realidad que se ensancha mediante vínculos familiares, culturales y cotidianos, y la acerca al alumnado con ejemplos de familias de procedencias diversas.",00:15:19,00:18:43,00:15:19-00:18:43
ref_variacion_lexica_del_espanol,Variación léxica del español,reference,Didácticas,"Utiliza diferencias léxicas entre España y América —como «polla», «pincho» o «anticucho»— para mostrar cómo una misma lengua transforma los significados según el lugar y la comunidad.",00:19:03,00:20:49,00:19:03-00:20:49; 00:22:49-00:25:17
ref_contexto_tono_e_interpretacion,"Contexto, tono e interpretación",reference,Didácticas,"Explica mediante expresiones cotidianas como «buenos días» o «nada» que el significado no depende solo de las palabras, sino también del tono, la situación y la relación entre hablantes.",00:25:21,00:27:18,00:25:21-00:27:18
ref_dimension_afectiva_de_la_comunicacion,Dimensión afectiva de la comunicación,reference,Didácticas,"Muestra que expresiones como «te quiero» y también los silencios adquieren sentido a través de la intensidad, la mirada, la situación y otros elementos no estrictamente verbales.",00:28:44,00:30:59,00:28:44-00:30:59; 00:32:15-00:33:05
ref_historias_de_cronopios_y_de_famas_como_puerta_de_entrada_a_cortazar,Historias de cronopios y de famas como puerta de entrada a Cortázar,reference,Didácticas,Recomienda al alumnado de bachillerato comenzar a leer a Cortázar por Historias de cronopios y de famas antes de abordar una novela más compleja como Rayuela.,00:33:33,00:34:05,00:33:33-00:34:05
ref_comprension_inferencial_de_palabras_inventadas,Comprensión inferencial de palabras inventadas,reference,Didácticas,"Lee el capítulo 68 de Rayuela para demostrar que el alumnado puede comprender una escena construida con palabras inexistentes gracias al contexto, el ritmo y las asociaciones lingüísticas.",00:34:05,00:38:50,00:34:05-00:38:50
ref_reconocimiento_de_registros_y_respuesta_emocional,Reconocimiento de registros y respuesta emocional,reference,Didácticas,"A partir de un poema narrativo de Borges, muestra cómo los lectores reconocen cambios de registro y responden emocionalmente sin necesidad de recurrir primero a la teoría literaria.",00:39:23,00:43:23,00:39:23-00:43:23
ref_intertextualidad_entre_literatura_y_cultura_popular,Intertextualidad entre literatura y cultura popular,reference,Didácticas,"Relaciona mitología y literatura con superhéroes, manga, Star Wars y formatos televisivos para enseñar al alumnado a reconocer símbolos y estructuras culturales reutilizadas.",00:44:07,00:46:24,00:44:07-00:46:24; 00:47:07-00:50:33; 00:50:51-00:52:21
ref_lectura_como_experiencia_accesible_y_placentera,Lectura como experiencia accesible y placentera,reference,Didácticas,Defiende que incluso quienes no se han acercado sistemáticamente a los libros poseen la capacidad de disfrutar de la lectura y de reconocer la literatura en otras ficciones culturales.,00:52:22,00:53:23,00:52:22-00:53:23
ref_relectura_y_cambio_de_interpretacion_a_lo_largo_de_la_vida,Relectura y cambio de interpretación a lo largo de la vida,reference,Didácticas,"Explica cómo sus sucesivas lecturas de La Cartuja de Parma han producido interpretaciones distintas según su edad y experiencia vital, proponiendo la relectura como forma de aprendizaje literario.",01:01:18,01:04:13,01:01:18-01:04:13
ref_julio_cortazar_rayuela,Julio Cortázar — Rayuela,reference,Culturales,"Presenta a Cortázar como una lectura fundamental y utiliza Rayuela, especialmente su capítulo 68, como ejemplo de experimentación lingüística y capacidad inferencial del lector.",00:33:20,00:34:06,00:33:20-00:34:06; 00:55:28-00:55:29
ref_jorge_luis_borges_la_moneda_de_hierro,Jorge Luis Borges — La moneda de hierro,reference,Culturales,"Sitúa a Borges entre sus autores esenciales, comenta La moneda de hierro y resume un poema sobre un joven poeta vikingo para ejemplificar la función de la literatura.",00:38:50,00:43:23,00:38:50-00:43:23; 00:59:58-01:00:15
ref_oscar_wilde_el_gigante_egoista,Oscar Wilde — El gigante egoísta,reference,Culturales,Recuerda a Oscar Wilde y El gigante egoísta entre las lecturas con las que descubrió de niño que la literatura podía emocionarlo.,00:43:32,00:44:06,00:43:32-00:44:06
ref_jules_verne,Jules Verne,reference,Culturales,Incluye las aventuras de Verne entre sus primeras lecturas y en el mismo horizonte formativo que la literatura infantil y los cómics.,00:43:42,00:44:06,00:43:42-00:44:06
ref_stan_lee_y_el_universo_marvel,Stan Lee y el universo Marvel,reference,Culturales,"Relaciona los personajes de Stan Lee —Thor, Iron Man y otros héroes Marvel— con la mitología clásica y los utiliza como ejemplo de continuidad cultural.",00:43:54,00:46:42,00:43:54-00:46:42
ref_mitologia_griega_aquiles_perseo_y_hermes,"Mitología griega: Aquiles, Perseo y Hermes",reference,Culturales,"Recurre a Aquiles, Perseo y Hermes para explicar cómo motivos mitológicos reaparecen en superhéroes, manga y otros productos de la cultura popular.",00:45:06,00:46:42,00:45:06-00:46:42; 00:47:07-00:47:30; 00:49:39-00:50:33
ref_robert_louis_stevenson_dr_jekyll_y_mr_hyde,Robert Louis Stevenson — Dr. Jekyll y Mr. Hyde,reference,Culturales,Señala la novela de Stevenson como antecedente literario del personaje de Hulk y de la transformación del científico en monstruo.,00:47:30,00:48:04,00:47:30-00:48:04
ref_excalibur_y_el_ciclo_arturico,Excalibur y el ciclo artúrico,reference,Culturales,"Utiliza Excalibur como símbolo literario que reaparece en Star Wars y en el manga, especialmente en escenas de espadas extraídas de una roca.",00:48:43,00:49:35,00:48:43-00:49:35
ref_daniel_defoe_robinson_crusoe,Daniel Defoe — Robinson Crusoe,reference,Culturales,Relaciona Robinson Crusoe con formatos contemporáneos de telerrealidad basados en el aislamiento y la supervivencia.,00:50:51,00:51:24,00:50:51-00:51:24
ref_george_orwell_1984,George Orwell — 1984,reference,Culturales,Vincula 1984 y la figura del Gran Hermano con programas televisivos basados en la vigilancia permanente de sus participantes.,00:51:24,00:52:25,00:51:24-00:52:25
ref_gustavo_adolfo_becquer_leyendas,Gustavo Adolfo Bécquer — Leyendas,reference,Culturales,Compara las Leyendas de Bécquer con los relatos de terror de Poe para diferenciar distintas ambiciones y tradiciones de lo fantástico.,00:58:15,00:59:17,00:58:15-00:59:17
ref_edgar_allan_poe,Edgar Allan Poe,reference,Culturales,"Contrapone los cuentos de terror de Edgar Allan Poe a las Leyendas de Bécquer al reflexionar sobre creatividad, terror y leyenda.",00:58:43,00:59:28,00:58:43-00:59:28
ref_michel_de_montaigne_ensayos,Michel de Montaigne — Ensayos,reference,Culturales,Considera los Ensayos de Montaigne un libro para toda la vida y afirma que ha reservado un ejemplar para cada uno de sus hijos.,00:59:58,01:00:57,00:59:58-01:00:57
ref_gabriel_garcia_marquez_cien_anos_de_soledad,Gabriel García Márquez — Cien años de soledad,reference,Culturales,Menciona Cien años de soledad entre los libros que desea dejar a sus hijos como lecturas a las que puedan volver siempre.,01:00:29,01:00:52,01:00:29-01:00:52
ref_stendhal_la_cartuja_de_parma,Stendhal — La Cartuja de Parma,reference,Culturales,Define La Cartuja de Parma como una novela casi fetiche que relee periódicamente y cuya interpretación ha cambiado con su edad y experiencia.,01:00:57,01:04:13,01:00:57-01:04:13
ref_roberto_bolano,Roberto Bolaño,reference,Culturales,"Recuerda a Roberto Bolaño como amigo y explica su práctica de presentarse a concursos literarios y la metáfora de los «premios búfalo», decisiva para uno de sus propios libros.",01:04:52,01:07:36,01:04:52-01:07:36
ref_guy_debord_la_sociedad_del_espectaculo,Guy Debord — La sociedad del espectáculo,reference,Culturales,Incorpora la noción de sociedad del espectáculo de Guy Debord para explicar cómo la espectacularización transforma el reconocimiento social de los personajes de su libro.,01:08:46,01:09:31,01:08:46-01:09:31
ref_martin_scorsese_silencio,Martin Scorsese — Silencio,reference,Culturales,Relaciona la película Silencio de Martin Scorsese con su investigación previa sobre los cristianos escondidos de Japón y observa cómo el filme facilitó después la comprensión de esa referencia.,01:09:59,01:11:43,01:09:59-01:11:43
ref_libro_de_mal_amor,Libro de mal amor,reference,Propia obra,La presentación destaca Libro de mal amor entre sus novelas y subraya el juego verbal e intertextual característico de sus títulos.,00:04:42,00:05:04,00:04:42-00:05:04
ref_espana_aparta_de_mi_estos_premios,"España, aparta de mí estos premios",reference,Propia obra,"El libro se presenta como un juego con César Vallejo y, en la conversación posterior, Iwasaki explica su origen en los concursos literarios, la identidad territorial, los protagonistas japoneses, la sociedad del espectáculo y los kirishitan.",00:05:04,00:05:17,00:05:04-00:05:17; 01:04:52-01:09:31; 01:09:59-01:12:41
ref_helarte_de_amar,Helarte de amar,reference,Propia obra,La presentación menciona este título como ejemplo del humor verbal con el que Iwasaki construye los nombres de sus obras.,00:05:18,00:05:29,00:05:18-00:05:29
ref_el_sentimiento_tragico_de_la_liga,El sentimiento trágico de la Liga,reference,Propia obra,Se cita como ejemplo de un título humorístico e intertextual construido a partir de El sentimiento trágico de la vida de Unamuno.,00:05:29,00:05:43,00:05:29-00:05:43
ref_la_caja_de_pan_duro,La caja de pan duro,reference,Propia obra,La presentación menciona esta obra dentro de la serie de títulos construidos mediante juegos culturales y humorísticos.,00:05:43,00:05:55,00:05:43-00:05:55
ref_minimo_comun_literario,Mínimo común literario,reference,Propia obra,Se presenta como uno de sus ensayos y como ejemplo del uso del humor y del juego verbal en su obra.,00:05:55,00:06:04,00:05:55-00:06:04
ref_las_palabras_primas,Las palabras primas,reference,Propia obra,Se menciona como uno de sus ensayos sobre la lengua; la intervención desarrolla ampliamente la variación de palabras y significados entre España y América.,00:05:55,00:06:04,00:05:55-00:06:04; 00:19:03-00:25:17
