id,label,type,group,note,start_time,end_time,timecodes
neuman,Andrés Neuman,interviewee,Entrevistado,Nodo central de la constelación de Andrés Neuman.,,,
cat_didacticas,Didácticas,category,Didácticas,,,,
cat_culturales,Culturales,category,Culturales,,,,
cat_propia_obra,Propia obra,category,Propia obra,,,,
cat_biograficas,Biográficas,category,Biográficas,,,,
ref_relacion_entre_creacion_y_filologia,Relación entre creación y filología,reference,Didácticas,"Neuman propone acercar la práctica creativa y el análisis filológico, una relación que considera poco desarrollada en la universidad española.",00:24:18,00:25:24,00:24:18-00:25:24
ref_indicativo_y_subjuntivo_para_narrar_la_experiencia,Indicativo y subjuntivo para narrar la experiencia,reference,Didácticas,"Utiliza los modos verbales como herramienta para pensar la escritura autobiográfica: la experiencia también se construye desde el deseo, el arrepentimiento y lo posible.",00:24:34,00:25:50,00:24:34-00:25:50
ref_gramatica_y_emocion,Gramática y emoción,reference,Didácticas,"Defiende que la gramática no debería reducirse a una materia escolar aburrida, sino entenderse como un molde de los afectos y de la experiencia.",00:44:42,00:44:58,00:44:42-00:44:58
ref_relacion_entre_genero_gramatical_y_genero_literario,Relación entre género gramatical y género literario,reference,Didácticas,"Aprovecha la coincidencia castellana de la palabra «género» para relacionar identidad, lengua y formas literarias, planteando una lectura transversal de la gramática y la literatura.",00:45:05,00:46:14,00:45:05-00:46:14
ref_generos_literarios_como_distinciones_pedagogicas,Géneros literarios como distinciones pedagógicas,reference,Didácticas,"Considera útiles las fronteras entre géneros para abordar pedagógicamente la materia, pero rechaza tratarlas como realidades rígidas.",00:47:11,00:48:00,00:47:11-00:48:00
ref_entrenamiento_literario_y_formacion_de_la_mirada,Entrenamiento literario y formación de la mirada,reference,Didácticas,"Compara el aprendizaje literario con la formación fotográfica: el entrenamiento hace que las ideas aparezcan ya asociadas a una forma, aunque esa asociación sea producto de la práctica.",00:49:25,00:50:36,00:49:25-00:50:36
ref_les_luthiers,Les Luthiers,reference,Culturales,Invoca a Les Luthiers como referente humorístico al recordar sus presentaciones extremadamente breves.,00:05:11,00:05:22,00:05:11-00:05:22
ref_albert_cohen_el_libro_de_mi_madre,Albert Cohen — El libro de mi madre,reference,Culturales,Cita la obra de Albert Cohen como ejemplo de una escritura que reconstruye un vínculo materno después de la muerte y convierte la ausencia en una nueva relación literaria.,00:09:49,00:10:39,00:09:49-00:10:39
ref_roberto_juarroz,Roberto Juarroz,reference,Culturales,Recuerda la idea de Juarroz de que la palabra crea presencia y la vincula con la capacidad de la escritura para responder a la ausencia.,00:10:39,00:11:27,00:10:39-00:11:27
