id,label,type,group,note,start_time,end_time,timecodes
murillo,Catalina Murillo,interviewee,Entrevistado,Nodo central de la constelación de Catalina Murillo.,,,
cat_didacticas,Didácticas,category,Didácticas,,,,
cat_culturales,Culturales,category,Culturales,,,,
cat_propia_obra,Propia obra,category,Propia obra,,,,
cat_biograficas,Biográficas,category,Biográficas,,,,
ref_narrativa_personal_como_construccion_de_sentido,Narrativa personal como construcción de sentido,reference,Didácticas,"Murillo plantea la narrativa personal como una forma de dar sentido a lo vivido y de construir una explicación para acontecimientos que, en la experiencia, pueden carecer de ella.",00:00:00,00:01:10,00:00:00-00:01:10; 00:04:00-00:06:29
ref_identidad_narrativa,Identidad narrativa,reference,Didácticas,Defiende que la manera en que una persona se cuenta su propia historia modifica la percepción de su vida y participa en la construcción de su identidad.,00:04:58,00:06:29,00:04:58-00:06:29; 00:13:25-00:14:11
ref_ejercicio_del_animal_totem,Ejercicio del animal tótem,reference,Didácticas,"Propone elegir un animal emblemático y tres rasgos admirados como punto de partida para explorar indirectamente identidad, valores y construcción de personaje.",00:07:22,00:09:29,00:07:22-00:09:29
ref_convertir_el_yo_en_personaje,Convertir el yo en personaje,reference,Didácticas,Presenta el distanciamiento del yo y su conversión en personaje como mecanismo central de la narrativa personal y como vía para observarse desde fuera.,00:10:03,00:11:27,00:10:03-00:11:27
ref_autoficcion_con_adolescentes,Autoficción con adolescentes,reference,Didácticas,Considera la autoficción especialmente eficaz con adolescentes porque permite hablar de sí mismos sin exigir una confesión directa.,00:11:17,00:13:25,00:11:17-00:13:25; 01:12:15-01:14:21
ref_identificacion_como_motor_de_las_historias,Identificación como motor de las historias,reference,Didácticas,Explica que la identificación constituye una médula narrativa y que puede producirse incluso con personajes o situaciones aparentemente opuestos al lector.,00:16:46,00:18:59,00:16:46-00:18:59
ref_personaje_frente_a_la_fatalidad,Personaje frente a la fatalidad,reference,Didácticas,Define la narración como observación de lo que hace un personaje con las circunstancias que recibe y destaca el conflicto como fundamento de una historia significativa.,00:18:59,00:23:03,00:18:59-00:23:03
ref_diferencia_entre_solucion_y_resolucion_narrativa,Diferencia entre solución y resolución narrativa,reference,Didácticas,"Distingue entre solucionar un conflicto y resolver narrativamente una historia, señalando que un final puede ser significativo aunque no sea favorable.",00:23:05,00:25:07,00:23:05-00:25:07
ref_taller_de_narrativa_con_animales_para_ninos,Taller de narrativa con animales para niños,reference,Didácticas,Describe el uso de animales como mediadores para introducir a niños y niñas en la narrativa personal sin pedirles que hablen directamente de sí mismos.,00:25:07,00:25:45,00:25:07-00:25:45; 00:27:38-00:29:04
ref_construccion_de_personaje_a_partir_de_rasgos_animales,Construcción de personaje a partir de rasgos animales,reference,Didácticas,Transforma los rasgos asociados a animales en cualidades de un personaje y utiliza esa transferencia como base para iniciar la escritura narrativa.,00:27:38,00:29:04,00:27:38-00:29:04; 00:31:54-00:34:10
ref_superpoderes_como_recurso_de_caracterizacion,Superpoderes como recurso de caracterización,reference,Didácticas,Utiliza la elección de superpoderes para ampliar la caracterización de personajes infantiles y favorecer la identificación imaginativa.,00:28:48,00:30:05,00:28:48-00:30:05
ref_ampliacion_del_repertorio_de_cualidades_mediante_varios_animales,Ampliación del repertorio de cualidades mediante varios animales,reference,Didácticas,Hace elegir sucesivos animales para obligar a diversificar los rasgos personales y superar respuestas inicialmente idealizadas o previsibles.,00:31:03,00:32:29,00:31:03-00:32:29; 01:01:15-01:02:06
ref_hibridacion_de_animales_y_juego_verbal,Hibridación de animales y juego verbal,reference,Didácticas,"Propone combinar animales, inventar nuevos seres y crear nombres mediante juegos de palabras como estrategia creativa para niños.",00:32:29,00:34:10,00:32:29-00:34:10
ref_mision_y_problema_del_personaje,Misión y problema del personaje,reference,Didácticas,"Una vez construido el personaje, introduce una misión o un problema que lo obligue a actuar, convirtiendo la caracterización en una historia.",00:33:46,00:34:58,00:33:46-00:34:58; 00:41:46-00:44:55
ref_dibujo_como_apoyo_a_la_escritura,Dibujo como apoyo a la escritura,reference,Didácticas,"Recomienda acompañar la creación escrita con dibujo, especialmente con niños pequeños, para facilitar la visualización y construcción del personaje.",00:38:01,00:39:48,00:38:01-00:39:48
ref_puntos_debiles_del_personaje,Puntos débiles del personaje,reference,Didácticas,Incorpora la búsqueda de debilidades como contrapeso de los superpoderes y como forma de hacer al personaje más complejo y narrativamente productivo.,00:39:48,00:40:55,00:39:48-00:40:55; 01:04:39-01:06:00
ref_responder_preguntas_con_otras_preguntas,Responder preguntas con otras preguntas,reference,Didácticas,Aconseja que quien conduce el taller evite cerrar las respuestas y devuelva preguntas que ayuden al alumnado a profundizar en sus propias decisiones.,00:35:34,00:36:50,00:35:34-00:36:50
ref_libertad_creativa_y_escritura_voluntaria,Libertad creativa y escritura voluntaria,reference,Didácticas,Defiende que las propuestas deben desarrollarse con gran libertad para que niños y adolescentes escriban porque desean hacerlo y no por imposición.,00:36:50,00:38:01,00:36:50-00:38:01; 01:32:14-01:32:53
ref_narrativa_personal_terapeutica_no_terapia,"Narrativa personal: terapéutica, no terapia",reference,Didácticas,Distingue entre terapia y efecto terapéutico: la escritura personal puede generar desahogo y reconstrucción sin convertirse en una práctica clínica.,00:45:37,00:49:12,00:45:37-00:49:12
ref_distanciamiento_y_humor,Distanciamiento y humor,reference,Didácticas,Sitúa el distanciamiento respecto del propio yo y el humor entendido como mirada desde fuera entre los mecanismos que permiten reelaborar experiencias personales.,00:48:09,00:50:14,00:48:09-00:50:14
ref_resignificacion_de_la_historia_personal,Resignificación de la historia personal,reference,Didácticas,Utiliza un caso de resiliencia para mostrar cómo un mismo acontecimiento puede adquirir sentidos radicalmente distintos según la narrativa desde la que se interprete.,00:50:14,00:54:24,00:50:14-00:54:24
ref_acercamiento_tangencial_al_yo,Acercamiento tangencial al yo,reference,Didácticas,"Propone llegar al yo de manera indirecta mediante juego, ficción y recreación para evitar que la escritura personal se perciba como confesión o terapia.",01:13:33,01:15:12,01:13:33-01:15:12
ref_ejercicio_el_loco_que_yo_seria,Ejercicio «el loco que yo sería»,reference,Didácticas,"Para adolescentes propone imaginar qué personaje serían si se volvieran locos, utilizando la ficción como vía lúdica de exploración del yo.",01:12:19,01:15:28,01:12:19-01:15:28
ref_escritura_de_si_en_tercera_persona,Escritura de sí en tercera persona,reference,Didácticas,"Sugiere escribir sobre uno mismo en tercera persona para crear distancia, favorecer el humor y generar una identidad narrativa alternativa.",01:16:56,01:20:14,01:16:56-01:20:14
ref_de_la_lagrima_a_la_carcajada,De la lágrima a la carcajada,reference,Didácticas,Propone explorar con adolescentes la frontera entre dolor y humor para aprender a reinterpretar experiencias desde distintas perspectivas.,01:18:45,01:19:23,01:18:45-01:19:23
